Address,ListPrice,Bedrooms,Bathrooms,HomeType,URL
39300 Manzanita Dr Oakhurst CA 93644,299999,2,1,SINGLE_FAMILY,https://www.zillow.com/homedetails/39300-Manzanita-Dr-Oakhurst-CA-93644/19144874_zpid/
37607 Road 422 Oakhurst CA 93644,699000,3,2,SINGLE_FAMILY,https://www.zillow.com/homedetails/37607-Road-422-Oakhurst-CA-93644/19148851_zpid/
48810 Quail Dr Oakhurst CA 93644,519000,3,2,SINGLE_FAMILY,https://www.zillow.com/homedetails/48810-Quail-Dr-Oakhurst-CA-93644/19147389_zpid/
49809 Road 426 Oakhurst CA 93644,369000,3,3,SINGLE_FAMILY,https://www.zillow.com/homedetails/49809-Road-426-Oakhurst-CA-93644/19147736_zpid/
47877 Lewis Creek Rd Oakhurst CA 93644,485000,2,2,SINGLE_FAMILY,https://www.zillow.com/homedetails/47877-Lewis-Creek-Rd-Oakhurst-CA-93644/19143841_zpid/
42820 Springwood Rd Oakhurst CA 93644,449000,3,2,SINGLE_FAMILY,https://www.zillow.com/homedetails/42820-Springwood-Rd-Oakhurst-CA-93644/19143956_zpid/
46000 Ming Cir Oakhurst CA 93644,299990,3,2,SINGLE_FAMILY,https://www.zillow.com/homedetails/46000-Ming-Cir-Oakhurst-CA-93644/19143574_zpid/
39387 Hidden Oak Dr Oakhurst CA 93644,399000,3,2,SINGLE_FAMILY,https://www.zillow.com/homedetails/39387-Hidden-Oak-Dr-Oakhurst-CA-93644/19148558_zpid/
38033 Highway 41 Oakhurst CA 93644,399000,3,3,SINGLE_FAMILY,https://www.zillow.com/homedetails/38033-Highway-41-Oakhurst-CA-93644/300268064_zpid/
